Gene	Phenotype
DGAT1	HP:0000969,HP:0002910,HP:0001508,HP:0003073,HP:0011900,HP:0001252,HP:0002013
SYNGAP1	HP:0001999,HP:0000280,HP:0001263,HP:0003006,HP:0001212,HP:0001250
MECP2	HP:0001263,HP:0001249,HP:0001250
PANK2	HP:0000750,HP:0002141,HP:0001270
DDX3X	HP:0000519,HP:0001263,HP:0000238,HP:0000126,HP:0002564,HP:0007291,HP:0001328
CHD3	HP:0001999,HP:0000592,HP:0000957,HP:0005280,HP:0000577,HP:0001263,HP:0001252,HP:0006579,HP:0002000,HP:0000233,HP:0000505,HP:0000431
CREBBP	HP:0001156,HP:0011304,HP:0000490,HP:0000286,HP:0000577,HP:0008872,HP:0001263,HP:0000316,HP:0008947
GLMN	HP:0001999,HP:0012721
ERCC6L2	HP:0001915,HP:0001876
PIEZO1	HP:0000729,HP:0010310,HP:0001508,HP:0011968,HP:0001510,HP:0002202
C12orf57	HP:0000496,HP:0000589,HP:0002019,HP:0001263,HP:0000485,HP:0001250
